# Spectrum of IMAGE beamline filtered white beam
# Energy	Flux
# eV	ph/s/mm2/eV
6000	1.17266666666667
6170.85	9.08302745975028
6341.71	56.025898377567
6512.56	283.605832422273
6683.42	1207.31601485467
6854.27	4419.14310349607
7025.13	14166.2858907949
7195.98	40397.5553017101
7366.83	103898.148864573
7537.69	243841.282939468
7708.54	527466.939264764
7879.4	1061502.14483336
8050.25	2002422.2850222
8221.11	3565211.99692013
8391.96	6027197.46042641
8562.81	9723443.5891956
8733.67	15045221.5391697
8904.52	22404351.947101
9075.38	32252093.0253058
9246.23	44991309.9717398
9417.09	61027344.9653768
9587.94	80695123.248581
9758.79	104213739.61321
9929.65	131827405.799802
10100.5	163457254.591357
10271.4	199096520.435384
10442.2	238647028.403976
10613.1	281821522.458094
10783.9	328267138.975695
10954.8	377551392.996677
11125.6	429190335.802114
11296.5	482627362.457398
11467.3	537441245.977693
11638.2	592961110.824698
11809	648742484.545686
11979.9	704262973.814473
12150.8	758880073.740001
12321.6	812394494.22153
12492.5	863718230.938563
12663.3	913663894.877323
12834.2	960714341.369155
13005	1004998077.66244
13175.9	1046607821.85657
13346.7	1085661624.22172
13517.6	1120761081.84885
13688.4	1152800911.72087
13859.3	1181156335.45706
14030.2	1206682727.25977
14201	1228082529.39934
14371.9	1246877587.51453
14542.7	1261801453.65029
14713.6	1274331230.96999
14884.4	1283222702.96418
15055.3	1289246976.14793
15226.1	1292517453.58299
15397	1292459570.04611
15567.8	1290484204.57611
15738.7	1286637396.98959
15909.5	1279738521.00946
16080.4	1271112658.88908
16251.3	1260822211.14619
16422.1	1248317815.6265
16593	1234255408.90737
16763.8	1219293954.83124
16934.7	1202265171.51175
17105.5	1184414369.64719
17276.4	1165752124.28515
17447.2	1145742583.33715
17618.1	1125547022.66419
17788.9	1104059272.91738
17959.8	1082417398.85745
18130.7	1059528865.40509
18301.5	1037073463.92372
18472.4	1013945128.94914
18643.2	990709749.399245
18814.1	967359586.692959
18984.9	943908053.242314
19155.8	919825849.090093
19326.6	896691606.387052
19497.5	872932427.234261
19668.3	849590457.741645
19839.2	826646235.735312
20010.1	803594184.936607
20180.9	780936429.990734
20351.8	758655254.08072
20522.6	736748755.031039
20693.5	714717181.72373
20864.3	693529138.288848
21035.2	672206587.054081
21206	651702348.391965
21376.9	631522812.007354
21547.7	611666210.31479
21718.6	592579632.204654
21889.4	573336866.245763
22060.3	554842862.517735
22231.2	537083018.460542
22402	519150075.886082
22572.9	501929304.608624
22743.7	485409146.269077
22914.6	469133216.377332
23085.4	453100227.849637
23256.3	437730851.425205
23427.1	422672887.382561
23598	408127807.441309
23768.8	393961832.317997
23939.7	380205265.730147
24110.6	366892570.072914
24281.4	353974647.260866
24452.3	341440273.512103
24623.1	329284289.955367
24794	317536500.766315
24964.8	306151060.693456
25135.7	295118098.958851
25306.5	284432853.219529
25477.4	274086052.736935
25648.2	264112101.434019
25819.1	254462781.429252
25989.9	245095210.06237
26160.8	236078407.388153
26331.7	227368532.984957
26502.5	218960475.426847
26673.4	210809270.659159
26844.2	202986119.906721
27015.1	195409234.095006
27185.9	188112219.937541
27356.8	181051877.412563
27527.6	174225141.312719
27698.5	167626405.762045
27869.3	161288586.365643
28040.2	155205740.329955
28211.1	149302933.95153
28381.9	143612654.543917
28552.8	138130060.799641
28723.6	132852427.968639
28894.5	127775182.128087
29065.3	122861281.321714
29236.2	118141208.501789
29407	113612405.209644
29577.9	109236964.084671
29748.7	105012992.164364
29919.6	100970601.211246
30090.5	97040594.2074741
30261.3	93287466.1696623
30432.2	89674752.400418
30603	86168022.7428684
30773.9	82829930.5580378
30944.7	79593597.6112226
31115.6	76488963.7352325
31286.4	73514370.4612867
31457.3	70635432.7930242
31628.1	67851056.4972287
31799	65190729.268216
31969.8	62652878.6542299
32140.7	60172927.1608895
32311.6	57812055.1133339
32482.4	55537768.145211
32653.3	53348359.8901183
32824.1	51242836.8180697
32995	49219578.7240491
33165.8	47277617.3045728
33336.7	45415413.0432826
33507.5	43602178.6167276
33678.4	41896289.6099577
33849.2	40237287.7350129
34020.1	38624225.0904612
34191	37085782.8083414
34361.8	35620951.172523
34532.7	34199468.9091788
34703.5	32849712.5650151
34874.4	31541761.2919505
35045.2	30275187.4721788
35216.1	29077609.3888875
35386.9	27919936.4736668
35557.8	26807057.8044761
35728.6	25738484.0156066
35899.5	24710650.5661639
36070.4	23723052.6969482
36241.2	22772424.7541472
36412.1	21863611.2720771
36582.9	20987947.9210232
36753.8	20147576.5771158
36924.6	19339410.5826468
37095.5	18565594.2095402
37266.3	17820390.0038373
37437.2	17105980.148088
37608	16419378.8555626
37778.9	15760120.0670215
37949.7	15127919.3247904
38120.6	14519708.5040634
38291.5	13935207.55259
38462.3	13374135.1921232
38633.2	12836109.8744085
38804	12320894.7531182
38974.9	11822993.7729154
39145.7	11347351.0500515
39316.6	10891073.9992777
39487.4	10451435.1413362
39658.3	10030687.1449356
39829.1	9626127.63030046
40000	9237500
